SHC will run under the following conditions:
******************************************
Rating category: TE-depth
Rating all puzzles in this file: examples/TE-input.txt
Output file: examples/TE-output.txt
WARNING: file  examples/TE-output.txt  already exists.
Puzzle 180  T&E-depth = 2  Time = 0s  Cumulated time = 3s
Puzzle 181  T&E-depth = 2  Time = 0s  Cumulated time = 3s
Puzzle 182  T&E-depth = 2  Time = 0s  Cumulated time = 3s
Puzzle 183  T&E-depth = 2  Time = 0s  Cumulated time = 3s
Puzzle 184  T&E-depth = 2  Time = 0s  Cumulated time = 3s
Puzzle 185  T&E-depth = 2  Time = 0s  Cumulated time = 3s
Puzzle 186  T&E-depth = 2  Time = 0s  Cumulated time = 4s
Puzzle 187  T&E-depth = 2  Time = 0s  Cumulated time = 4s
Puzzle 188  T&E-depth = 2  Time = 0s  Cumulated time = 4s
Puzzle 189  T&E-depth = 2  Time = 0s  Cumulated time = 4s
Puzzle 190  T&E-depth = 2  Time = 0s  Cumulated time = 4s
Puzzle 191  T&E-depth = 2  Time = 0s  Cumulated time = 4s
Puzzle 192  T&E-depth = 2  Time = 0s  Cumulated time = 4s
Puzzle 193  T&E-depth = 2  Time = 0s  Cumulated time = 4s
Puzzle 194  T&E-depth = 2  Time = 0s  Cumulated time = 4s
Puzzle 195  T&E-depth = 2  Time = 0s  Cumulated time = 4s
Puzzle 196  T&E-depth = 2  Time = 2s  Cumulated time = 6s
Puzzle 197  T&E-depth = 2  Time = 2s  Cumulated time = 7s
Puzzle 198  T&E-depth = 2  Time = 0s  Cumulated time = 8s
Puzzle 199  T&E-depth = 2  Time = 0s  Cumulated time = 8s
Puzzle 200  T&E-depth = 2  Time = 0s  Cumulated time = 8s
Puzzle 201  T&E-depth = 2  Time = 0s  Cumulated time = 8s
Puzzle 202  T&E-depth = 2  Time = 0s  Cumulated time = 8s
Puzzle 203  T&E-depth = 3  Time = 9s  Cumulated time = 18s
Puzzle 204  T&E-depth = 3  Time = 3s  Cumulated time = 20s
Puzzle 205  T&E-depth = 3  Time = 3s  Cumulated time = 24s
Puzzle 206  T&E-depth = 3  Time = 3s  Cumulated time = 27s
Puzzle 207  T&E-depth = 3  Time = 3s  Cumulated time = 30s
Puzzle 208  T&E-depth = 3  Time = 5s  Cumulated time = 35s
Puzzle 209  T&E-depth = 3  Time = 9s  Cumulated time = 44s
Puzzle 210  T&E-depth = 3  Time = 4s  Cumulated time = 49s
Puzzle 211  T&E-depth = 3  Time = 2s  Cumulated time = 51s
Puzzle 212  T&E-depth = 3  Time = 2s  Cumulated time = 52s
Puzzle 213  T&E-depth = 3  Time = 6s  Cumulated time = 58s
Puzzle 214  T&E-depth = 3  Time = 5s  Cumulated time = 1m3s
Puzzle 215  T&E-depth = 3  Time = 2s  Cumulated time = 1m5s
Puzzle 216  T&E-depth = 3  Time = 4s  Cumulated time = 1m8s
Puzzle 217  T&E-depth = 3  Time = 8s  Cumulated time = 1m16s
Puzzle 218  T&E-depth = 3  Time = 3s  Cumulated time = 1m19s
Puzzle 219  T&E-depth = 3  Time = 4s  Cumulated time = 1m23s
Puzzle 220  T&E-depth = 3  Time = 7s  Cumulated time = 1m30s
Puzzle 221  T&E-depth = 3  Time = 3s  Cumulated time = 1m33s
Puzzle 222  T&E-depth = 3  Time = 4s  Cumulated time = 1m37s
Puzzle 223  T&E-depth = 3  Time = 5s  Cumulated time = 1m42s
Puzzle 224  T&E-depth = 3  Time = 2s  Cumulated time = 1m44s
Puzzle 225  T&E-depth = 3  Time = 2s  Cumulated time = 1m45s
Puzzle 226  T&E-depth = 3  Time = 0s  Cumulated time = 1m46s
Puzzle 227  T&E-depth = 3  Time = 1s  Cumulated time = 1m47s
Puzzle 228  T&E-depth = 3  Time = 4s  Cumulated time = 1m51s
Puzzle 229  T&E-depth = 3  Time = 4s  Cumulated time = 1m55s
Puzzle 230  T&E-depth = 3  Time = 5s  Cumulated time = 2m0s
Puzzle 231  T&E-depth = 3  Time = 3s  Cumulated time = 2m3s
Puzzle 232  T&E-depth = 3  Time = 3s  Cumulated time = 2m6s
Puzzle 233  T&E-depth = 3  Time = 3s  Cumulated time = 2m8s
Puzzle 234  T&E-depth = 3  Time = 4s  Cumulated time = 2m13s
Puzzle 235  T&E-depth = 3  Time = 5s  Cumulated time = 2m17s
Puzzle 236  T&E-depth = 3  Time = 4s  Cumulated time = 2m22s
Puzzle 237  T&E-depth = 3  Time = 4s  Cumulated time = 2m26s
Puzzle 238  T&E-depth = 3  Time = 6s  Cumulated time = 2m32s
Puzzle 239  T&E-depth = 3  Time = 6s  Cumulated time = 2m38s
Puzzle 240  T&E-depth = 3  Time = 6s  Cumulated time = 2m44s
Puzzle 241  T&E-depth = 3  Time = 4s  Cumulated time = 2m49s
Puzzle 242  T&E-depth = 3  Time = 2s  Cumulated time = 2m50s
Puzzle 243  T&E-depth = 3  Time = 4s  Cumulated time = 2m54s
Puzzle 244  T&E-depth = 3  Time = 1s  Cumulated time = 2m55s
Puzzle 245  T&E-depth = 3  Time = 2s  Cumulated time = 2m56s
Puzzle 246  T&E-depth = 3  Time = 1s  Cumulated time = 2m58s
Puzzle 247  T&E-depth = 3  Time = 1s  Cumulated time = 2m59s
Puzzle 248  T&E-depth = 3  Time = 3s  Cumulated time = 3m2s
Puzzle 249  T&E-depth = 3  Time = 4s  Cumulated time = 3m6s
Puzzle 250  T&E-depth = 3  Time = 3s  Cumulated time = 3m9s
Puzzle 251  T&E-depth = 3  Time = 2s  Cumulated time = 3m11s
Puzzle 252  T&E-depth = 3  Time = 2s  Cumulated time = 3m13s
Puzzle 253  T&E-depth = 3  Time = 3s  Cumulated time = 3m16s
Puzzle 254  T&E-depth = 3  Time = 2s  Cumulated time = 3m18s
Puzzle 255  T&E-depth = 3  Time = 2s  Cumulated time = 3m20s
Puzzle 256  T&E-depth = 3  Time = 2s  Cumulated time = 3m22s
Puzzle 257  T&E-depth = 3  Time = 2s  Cumulated time = 3m24s
Puzzle 258  T&E-depth = 3  Time = 1s  Cumulated time = 3m25s
Puzzle 259  T&E-depth = 3  Time = 1s  Cumulated time = 3m26s
Puzzle 260  T&E-depth = 3  Time = 3s  Cumulated time = 3m29s
Puzzle 261  T&E-depth = 3  Time = 2s  Cumulated time = 3m31s
Puzzle 262  T&E-depth = 3  Time = 4s  Cumulated time = 3m35s
Puzzle 263  T&E-depth = 3  Time = 1s  Cumulated time = 3m35s
Puzzle 264  T&E-depth = 3  Time = 6s  Cumulated time = 3m42s
Puzzle 265  T&E-depth = 3  Time = 4s  Cumulated time = 3m45s
Puzzle 266  T&E-depth = 3  Time = 2s  Cumulated time = 3m47s
Puzzle 267  T&E-depth = 3  Time = 5s  Cumulated time = 3m51s
Puzzle 268  T&E-depth = 3  Time = 4s  Cumulated time = 3m56s
Puzzle 269  T&E-depth = 3  Time = 0s  Cumulated time = 3m56s
Puzzle 270  T&E-depth = 3  Time = 0s  Cumulated time = 3m56s
Puzzle 271  T&E-depth = 3  Time = 0s  Cumulated time = 3m56s
Puzzle 272  T&E-depth = 3  Time = 1s  Cumulated time = 3m57s
Puzzle 273  T&E-depth = 3  Time = 1s  Cumulated time = 3m58s
Puzzle 274  T&E-depth = 3  Time = 2s  Cumulated time = 4m0s
Puzzle 275  T&E-depth = 3  Time = 2s  Cumulated time = 4m2s
Puzzle 276  T&E-depth = 3  Time = 1s  Cumulated time = 4m3s
Puzzle 277  T&E-depth = 3  Time = 2s  Cumulated time = 4m5s
Puzzle 278  T&E-depth = 3  Time = 2s  Cumulated time = 4m6s
Puzzle 279  T&E-depth = 3  Time = 2s  Cumulated time = 4m8s
Puzzle 280  T&E-depth = 3  Time = 0s  Cumulated time = 4m8s
Puzzle 281  T&E-depth = 3  Time = 0s  Cumulated time = 4m8s
Puzzle 282  T&E-depth = 3  Time = 0s  Cumulated time = 4m9s
Puzzle 283  T&E-depth = 3  Time = 9s  Cumulated time = 4m17s
Puzzle 284  T&E-depth = 3  Time = 7s  Cumulated time = 4m24s
Puzzle 285  T&E-depth = 3  Time = 3s  Cumulated time = 4m27s
Puzzle 286  T&E-depth = 3  Time = 3s  Cumulated time = 4m30s
Puzzle 287  T&E-depth = 3  Time = 4s  Cumulated time = 4m34s
Puzzle 288  T&E-depth = 3  Time = 5s  Cumulated time = 4m39s
Puzzle 289  T&E-depth = 3  Time = 4s  Cumulated time = 4m43s
Puzzle 290  T&E-depth = 3  Time = 2s  Cumulated time = 4m45s
Puzzle 291  T&E-depth = 3  Time = 5s  Cumulated time = 4m50s
Puzzle 292  T&E-depth = 3  Time = 4s  Cumulated time = 4m53s
Puzzle 293  T&E-depth = 3  Time = 4s  Cumulated time = 4m57s
Puzzle 294  T&E-depth = 3  Time = 2s  Cumulated time = 4m59s
Puzzle 295  T&E-depth = 3  Time = 1s  Cumulated time = 5m0s
Puzzle 296  T&E-depth = 3  Time = 1s  Cumulated time = 5m1s
Puzzle 297  T&E-depth = 3  Time = 1s  Cumulated time = 5m2s
Puzzle 298  T&E-depth = 3  Time = 0s  Cumulated time = 5m2s
Puzzle 299  T&E-depth = 3  Time = 0s  Cumulated time = 5m2s
Puzzle 300  T&E-depth = 3  Time = 0s  Cumulated time = 5m2s
Puzzle 301  T&E-depth = 3  Time = 0s  Cumulated time = 5m2s
Puzzle 302  T&E-depth = 3  Time = 0s  Cumulated time = 5m3s
Puzzle 303  T&E-depth = 3  Time = 6s  Cumulated time = 5m8s
Puzzle 304  T&E-depth = 3  Time = 4s  Cumulated time = 5m12s
Puzzle 305  T&E-depth = 3  Time = 2s  Cumulated time = 5m14s
Puzzle 306  T&E-depth = 3  Time = 4s  Cumulated time = 5m18s
Puzzle 307  T&E-depth = 3  Time = 4s  Cumulated time = 5m23s
Puzzle 308  T&E-depth = 3  Time = 2s  Cumulated time = 5m25s
Puzzle 309  T&E-depth = 3  Time = 2s  Cumulated time = 5m27s
Puzzle 310  T&E-depth = 3  Time = 9s  Cumulated time = 5m36s
Puzzle 311  T&E-depth = 3  Time = 9s  Cumulated time = 5m46s
Puzzle 312  T&E-depth = 3  Time = 2s  Cumulated time = 5m47s
Puzzle 313  T&E-depth = 3  Time = 1s  Cumulated time = 5m48s
Puzzle 314  T&E-depth = 3  Time = 0s  Cumulated time = 5m49s
Puzzle 315  T&E-depth = 3  Time = 2s  Cumulated time = 5m50s
Puzzle 316  T&E-depth = 3  Time = 3s  Cumulated time = 5m53s
Puzzle 317  T&E-depth = 3  Time = 0s  Cumulated time = 5m53s
Puzzle 318  T&E-depth = 3  Time = 3s  Cumulated time = 5m56s
Puzzle 319  T&E-depth = 3  Time = 1s  Cumulated time = 5m57s
Puzzle 320  T&E-depth = 3  Time = 1s  Cumulated time = 5m58s
Puzzle 321  T&E-depth = 3  Time = 1s  Cumulated time = 5m59s
Puzzle 322  T&E-depth = 3  Time = 1s  Cumulated time = 6m0s
Puzzle 323  T&E-depth = 3  Time = 0s  Cumulated time = 6m0s
Puzzle 324  T&E-depth = 3  Time = 0s  Cumulated time = 6m0s
Puzzle 325  T&E-depth = 3  Time = 2s  Cumulated time = 6m2s
Puzzle 326  T&E-depth = 3  Time = 2s  Cumulated time = 6m4s
